state,fitted_length,nfish,sumnfish,fitted_prob,observed_prob,_merge,p_star,below,above,sum_below,sum_above,first,cdf_star,pstar_all,prob_below_adj,prob_above_adj,prob_star,sum_prob_f
DE,18,587881,19885312,.029563585,.057068169,Matched (3),,,1,,.25148189,,,.72500002,0,.032328311,.032328311,1
DE,18.5,462473,19885312,.023257019,0,Master only (1),,,1,,.25148189,,,.72500002,0,.025431968,.025431968,1
DE,19,357534,19885312,.017979806,.028002882,Matched (3),,,1,,.25148189,,,.72500002,0,.019661242,.019661242,1
DE,19.5,270884,19885312,.013622318,0,Master only (1),,,1,,.25148189,,,.72500002,0,.01489625,.01489625,1
DE,20,199982,19885312,.010056771,.014916967,Matched (3),,,1,,.25148189,,,.72500002,0,.010997261,.010997261,1
DE,20.5,146414,19885312,.0073629231,0,Master only (1),,,1,,.25148189,,,.72500002,0,.0080514895,.0080514895,1
DE,21,105432,19885312,.0053020045,.0081391539,Matched (3),,,1,,.25148189,,,.72500002,0,.0057978374,.0057978374,1
DE,21.5,73951,19885312,.0037188763,0,Master only (1),,,1,,.25148189,,,.72500002,0,.0040666582,.0040666582,1
DE,22,51113,19885312,.00257039,.0049660662,Matched (3),,,1,,.25148189,,,.72500002,0,.0028107679,.0028107679,1
DE,22.5,34879,19885312,.0017540086,0,Master only (1),,,1,,.25148189,,,.72500002,0,.00191804,.00191804,1
DE,23,23337,19885312,.0011735801,.0027283512,Matched (3),,,1,,.25148189,,,.72500002,0,.001283331,.001283331,1
DE,23.5,15522,19885312,.00078057626,0,Master only (1),,,1,,.25148189,,,.72500002,0,.00085357419,.00085357419,1
DE,24,10322,19885312,.00051907671,.002802599,Matched (3),,,1,,.25148189,,,.72500002,0,.00056761975,.00056761975,1
DE,24.5,6263,19885312,.00031495615,0,Master only (1),,,1,,.25148189,,,.72500002,0,.00034441022,.00034441022,1
DE,25,4081,19885312,.0002052269,.00084538449,Matched (3),,,1,,.25148189,,,.72500002,0,.0002244193,.0002244193,1
DE,25.5,2705,19885312,.00013603008,0,Master only (1),,,1,,.25148189,,,.72500002,0,.00014875134,.00014875134,1
DE,26,1737,19885312,.00008735092,.00038714166,Matched (3),,,1,,.25148189,,,.72500002,0,.000095519805,.000095519805,1
DE,26.5,998,19885312,.000050187806,0,Master only (1),,,1,,.25148189,,,.72500002,0,.000054881268,.000054881268,1
DE,27,608,19885312,.000030575338,6.3540851e-06,Matched (3),,,1,,.25148189,,,.72500002,0,.000033434684,.000033434684,1
DE,27.5,354,19885312,.000017802087,0,Master only (1),,,1,,.25148189,,,.72500002,0,.000019466903,.000019466903,1
DE,28,234,19885312,.000011767481,.000028098573,Matched (3),,,1,,.25148189,,,.72500002,0,.000012867952,.000012867952,1
DE,28.5,150,19885312,7.5432572e-06,0,Master only (1),,,1,,.25148189,,,.72500002,0,8.2486877e-06,8.2486877e-06,1
DE,29,82,19885312,4.1236476e-06,.000085920532,Matched (3),,,1,,.25148189,,,.72500002,0,4.5092829e-06,4.5092829e-06,1
DE,29.5,45,19885312,2.2629772e-06,0,Master only (1),,,1,,.25148189,,,.72500002,0,2.4746064e-06,2.4746064e-06,1
DE,30,25,19885312,1.2572095e-06,.00021785166,Matched (3),,,1,,.25148189,,,.72500002,0,1.3747813e-06,1.3747813e-06,1
DE,30.5,19,19885312,9.5547932e-07,0,Master only (1),,,1,,.25148189,,,.72500002,0,1.0448339e-06,1.0448339e-06,1
DE,31,14,19885312,7.0403735e-07,.0001088728,Matched (3),,,1,,.25148189,,,.72500002,0,7.6987754e-07,7.6987754e-07,1
DE,31.5,9,19885312,4.5259546e-07,0,Master only (1),,,1,,.25148189,,,.72500002,0,4.9492127e-07,4.9492127e-07,1
DE,32,4,19885312,2.0115354e-07,0,Matched (3),,,1,,.25148189,,,.72500002,0,2.1996502e-07,2.1996502e-07,1
DE,32.5,1,19885312,5.0288385e-08,0,Master only (1),,,1,,.25148189,,,.72500002,0,5.4991254e-08,5.4991254e-08,1
DE,33.5,1,19885312,5.0288385e-08,0,Master only (1),,,1,,.25148189,,,.72500002,0,5.4991254e-08,5.4991254e-08,1
DE,34,3,19885312,1.5086515e-07,.0001088728,Matched (3),,,1,,.25148189,,,.72500002,0,1.6497376e-07,1.6497376e-07,1
MA,6,77,10876481,7.0795363e-06,.00014480232,Matched (3),,1,,.63788277,,1,7.0795363e-06,.85000002,7.0795363e-06,0,7.0795531e-06,1
MA,6.5,266,10876481,.00002445658,0,Master only (1),,1,,.63788277,,,,.85000002,.000032589207,0,.000032589283,1
MA,7,827,10876481,.000076036056,.0015204246,Matched (3),,1,,.63788277,,,,.85000002,.00010132058,0,.00010132082,1
MA,7.5,2401,10876481,.00022075282,0,Master only (1),,1,,.63788277,,,,.85000002,.00029416048,0,.00029416117,1
MA,8,5839,10876481,.00053684949,.0024616397,Matched (3),,1,,.63788277,,,,.85000002,.00071536982,0,.00071537151,1
MA,8.5,12887,10876481,.0011848569,0,Master only (1),,1,,.63788277,,,,.85000002,.0015788613,0,.001578865,1
MA,9,25686,10876481,.0023616229,.0038372618,Matched (3),,1,,.63788277,,,,.85000002,.0031469411,0,.0031469485,1
MA,9.5,46705,10876481,.0042941524,0,Master only (1),,1,,.63788277,,,,.85000002,.0057221008,0,.0057221144,1
MA,10,79506,10876481,.007309943,.013901024,Matched (3),,1,,.63788277,,,,.85000002,.0097407419,0,.0097407652,1
MA,10.5,125216,10876481,.011512613,0,Master only (1),,1,,.63788277,,,,.85000002,.01534094,0,.015340976,1
MA,11,185086,10876481,.017017182,.028613012,Matched (3),,1,,.63788277,,,,.85000002,.022675961,0,.022676015,1
MA,11.5,257954,10876481,.023716815,0,Master only (1),,1,,.63788277,,,,.85000002,.031603444,0,.031603519,1
MA,12,341097,10876481,.031361148,.057237156,Matched (3),,1,,.63788277,,,,.85000002,.041789774,0,.041789874,1
MA,12.5,430896,10876481,.039617453,0,Master only (1),,1,,.63788277,,,,.85000002,.052791573,0,.0527917,1
MA,13,520204,10876481,.047828607,.089305855,Matched (3),,1,,.63788277,,,,.85000002,.063733213,0,.063733362,1
MA,13.5,601366,10876481,.055290811,0,Master only (1),,1,,.63788277,,,,.85000002,.073676847,0,.073677026,1
MA,14,667480,10876481,.061369464,.12759416,Matched (3),,1,,.63788277,,,,.85000002,.08177685,0,.081777044,1
MA,14.5,716166,10876481,.065845758,0,Master only (1),,1,,.63788277,,,,.85000002,.087741666,0,.087741874,1
MA,15,744426,10876481,.068444036,.13138728,Matched (3),,1,,.63788277,,,,.85000002,.091203958,0,.091204174,1
MA,15.5,748975,10876481,.068862282,0,Master only (1),,1,,.63788277,,,,.85000002,.091761284,0,.0917615,1
MA,16,730869,10876481,.067197584,.14342198,Matched (3),,1,,.63788277,,,,.85000002,.089543015,0,.089543231,1
MA,16.5,693951,10876481,.063803263,0,Master only (1),.85000002,1,,.63788277,,,,.85000002,.085019968,0,.08502017,1
MA,17,640946,10876481,.058929875,.18000612,Matched (3),,,1,,.36211726,,,.85000002,0,.024410546,.024410604,1
MA,17.5,579398,10876481,.053271029,0,Master only (1),,,1,,.36211726,,,.85000002,0,.02206648,.022066532,1
MA,18,510549,10876481,.046940912,.081804544,Matched (3),,,1,,.36211726,,,.85000002,0,.019444352,.019444399,1
MA,18.5,441715,10876481,.040612172,0,Master only (1),,,1,,.36211726,,,.85000002,0,.016822796,.016822837,1
MA,19,374031,10876481,.034389168,.030354962,Matched (3),,,1,,.36211726,,,.85000002,0,.014245039,.014245072,1
MA,19.5,310793,10876481,.02857494,0,Master only (1),,,1,,.36211726,,,.85000002,0,.011836609,.011836637,1
MA,20,251339,10876481,.023108618,.035483554,Matched (3),,,1,,.36211726,,,.85000002,0,.0095722917,.009572315,1
