length,state,mode,fitted_prob,draw
5,MA,fh,.0026795422,3
5.5,MA,fh,.0049235551,3
6,MA,fh,.0082426509,3
6.5,MA,fh,.012563717,3
7,MA,fh,.017945997,3
7.5,MA,fh,.024108797,3
8,MA,fh,.030720187,3
8.5,MA,fh,.037314273,3
9,MA,fh,.043548699,3
9.5,MA,fh,.049084663,3
10,MA,fh,.053337626,3
10.5,MA,fh,.056354523,3
11,MA,fh,.057862122,3
11.5,MA,fh,.058127765,3
12,MA,fh,.056979779,3
12.5,MA,fh,.054631237,3
13,MA,fh,.051448185,3
13.5,MA,fh,.047600985,3
14,MA,fh,.043360323,3
14.5,MA,fh,.038913261,3
15,MA,fh,.034403604,3
15.5,MA,fh,.030012399,3
16,MA,fh,.033198599,3
16.5,MA,fh,.028310468,3
17,MA,fh,.023830479,3
17.5,MA,fh,.019804016,3
18,MA,fh,.016366385,3
18.5,MA,fh,.013400406,3
19,MA,fh,.010891275,3
19.5,MA,fh,.0087081557,3
20,MA,fh,.0069671334,3
20.5,MA,fh,.0055177244,3
21,MA,fh,.0043381578,3
21.5,MA,fh,.0033815734,3
22,MA,fh,.0026476979,3
22.5,MA,fh,.0020142379,3
23,MA,fh,.0015541782,3
23.5,MA,fh,.0011894177,3
24,MA,fh,.00090918015,3
24.5,MA,fh,.00067868759,3
1.5,MA,pr,1.1885148e-07,3
2,MA,pr,1.4658348e-06,3
2.5,MA,pr,9.5873520e-06,3
3,MA,pr,.00004754059,3
3.5,MA,pr,.00018045615,3
4,MA,pr,.00051902432,3
4.5,MA,pr,.0012300732,3
5,MA,pr,.0025032102,3
5.5,MA,pr,.0045995517,3
6,MA,pr,.0077002291,3
6.5,MA,pr,.011736939,3
7,MA,pr,.01676503,3
7.5,MA,pr,.022522274,3
8,MA,pr,.02869859,3
8.5,MA,pr,.034858741,3
9,MA,pr,.040682901,3
9.5,MA,pr,.045854561,3
10,MA,pr,.04982765,3
10.5,MA,pr,.052646015,3
11,MA,pr,.054054402,3
11.5,MA,pr,.054302566,3
12,MA,pr,.053230125,3
12.5,MA,pr,.051036131,3
13,MA,pr,.048062544,3
13.5,MA,pr,.044468518,3
14,MA,pr,.040506922,3
14.5,MA,pr,.036352504,3
15,MA,pr,.032139614,3
15.5,MA,pr,.02803738,3
16,MA,pr,.04290612,3
16.5,MA,pr,.036588665,3
17,MA,pr,.030798694,3
17.5,MA,pr,.02559486,3
18,MA,pr,.021152042,3
18.5,MA,pr,.017318787,3
19,MA,pr,.014075967,3
19.5,MA,pr,.011254487,3
20,MA,pr,.0090043759,3
20.5,MA,pr,.0071311491,3
21,MA,pr,.0056066685,3
21.5,MA,pr,.0043703713,3
22,MA,pr,.0034219052,3
22.5,MA,pr,.0026032166,3
23,MA,pr,.0020086318,3
23.5,MA,pr,.0015372125,3
24,MA,pr,.0011750314,3
24.5,MA,pr,.00087714102,3
1.5,MA,sh,1.5585553e-07,3
2,MA,sh,1.9222180e-06,3
2.5,MA,sh,.000012572345,3
3,MA,sh,.000062342209,3
3.5,MA,sh,.00023664063,3
4,MA,sh,.00068062101,3
4.5,MA,sh,.0016130527,3
5,MA,sh,.003282577,3
5.5,MA,sh,.0060316082,3
6,MA,sh,.010097672,3
6.5,MA,sh,.0153912,3
7,MA,sh,.021984771,3
7.5,MA,sh,.029534517,3
8,MA,sh,.03763381,3
8.5,MA,sh,.045711905,3
9,MA,sh,.053349398,3
9.5,MA,sh,.060131241,3
10,MA,sh,.065341339,3
10.5,MA,sh,.069037192,3
11,MA,sh,.070884079,3
11.5,MA,sh,.071209505,3
12,MA,sh,.069803163,3
12.5,MA,sh,.066926077,3
13,MA,sh,.063026674,3
13.5,MA,sh,.058313657,3
14,MA,sh,.053118628,3
14.5,MA,sh,.047670748,3
15,MA,sh,.042146187,3
15.5,MA,sh,.036766734,3
16,MA,sh,0,3
16.5,MA,sh,0,3
17,MA,sh,0,3
17.5,MA,sh,0,3
18,MA,sh,0,3
18.5,MA,sh,0,3
19,MA,sh,0,3
19.5,MA,sh,0,3
20,MA,sh,0,3
20.5,MA,sh,0,3
21,MA,sh,0,3
21.5,MA,sh,0,3
22,MA,sh,0,3
22.5,MA,sh,0,3
23,MA,sh,0,3
23.5,MA,sh,0,3
24,MA,sh,0,3
24.5,MA,sh,0,3
1.5,MA,fh,1.2878222e-07,4
2,MA,fh,1.5883137e-06,4
2.5,MA,fh,.000010388431,4
3,MA,fh,.000051512881,4
3.5,MA,fh,.0001955343,4
4,MA,fh,.00056239183,4
4.5,MA,fh,.0013328529,4
5,MA,fh,.0027123678,4
5.5,MA,fh,.0049838708,4
6,MA,fh,.0083436277,4
6.5,MA,fh,.012717629,4
7,MA,fh,.018165845,4
7.5,MA,fh,.024404142,4
8,MA,fh,.031096524,4
8.5,MA,fh,.037771393,4
9,MA,fh,.044082191,4
9.5,MA,fh,.049685977,4
10,MA,fh,.053991038,4
10.5,MA,fh,.057044894,4
11,MA,fh,.058570962,4
11.5,MA,fh,.058839861,4
12,MA,fh,.057677809,4
12.5,MA,fh,.055300497,4
13,MA,fh,.052078452,4
13.5,MA,fh,.048184119,4
14,MA,fh,.043891508,4
14.5,MA,fh,.039389968,4
15,MA,fh,.034825068,4
15.5,MA,fh,.030380066,4
16,MA,fh,.03139146,4
16.5,MA,fh,.026769411,4
17,MA,fh,.022533286,4
17.5,MA,fh,.018725999,4
18,MA,fh,.015475494,4
18.5,MA,fh,.012670965,4
19,MA,fh,.010298417,4
19.5,MA,fh,.0082341339,4
20,MA,fh,.006587883,4
20.5,MA,fh,.005217371,4
21,MA,fh,.0041020135,4
21.5,MA,fh,.0031975,4
22,MA,fh,.0025035727,4
22.5,MA,fh,.0019045945,4
23,MA,fh,.0014695778,4
23.5,MA,fh,.0011246727,4
24,MA,fh,.00085968967,4
24.5,MA,fh,.00064174377,4
1.5,MA,pr,1.1885148e-07,4
2,MA,pr,1.4658348e-06,4
2.5,MA,pr,9.5873520e-06,4
3,MA,pr,.00004754059,4
3.5,MA,pr,.00018045615,4
4,MA,pr,.00051902432,4
4.5,MA,pr,.0012300732,4
5,MA,pr,.0025032102,4
5.5,MA,pr,.0045995517,4
6,MA,pr,.0077002291,4
6.5,MA,pr,.011736939,4
7,MA,pr,.01676503,4
7.5,MA,pr,.022522274,4
8,MA,pr,.02869859,4
8.5,MA,pr,.034858741,4
9,MA,pr,.040682901,4
9.5,MA,pr,.045854561,4
10,MA,pr,.04982765,4
10.5,MA,pr,.052646015,4
11,MA,pr,.054054402,4
11.5,MA,pr,.054302566,4
12,MA,pr,.053230125,4
12.5,MA,pr,.051036131,4
13,MA,pr,.048062544,4
13.5,MA,pr,.044468518,4
14,MA,pr,.040506922,4
14.5,MA,pr,.036352504,4
15,MA,pr,.032139614,4
15.5,MA,pr,.02803738,4
16,MA,pr,.04290612,4
16.5,MA,pr,.036588665,4
17,MA,pr,.030798694,4
17.5,MA,pr,.02559486,4
18,MA,pr,.021152042,4
18.5,MA,pr,.017318787,4
19,MA,pr,.014075967,4
19.5,MA,pr,.011254487,4
20,MA,pr,.0090043759,4
20.5,MA,pr,.0071311491,4
21,MA,pr,.0056066685,4
21.5,MA,pr,.0043703713,4
22,MA,pr,.0034219052,4
22.5,MA,pr,.0026032166,4
23,MA,pr,.0020086318,4
23.5,MA,pr,.0015372125,4
24,MA,pr,.0011750314,4
24.5,MA,pr,.00087714102,4
1.5,MA,sh,1.5585553e-07,4
2,MA,sh,1.9222180e-06,4
2.5,MA,sh,.000012572345,4
3,MA,sh,.000062342209,4
3.5,MA,sh,.00023664063,4
4,MA,sh,.00068062101,4
4.5,MA,sh,.0016130527,4
5,MA,sh,.003282577,4
5.5,MA,sh,.0060316082,4
6,MA,sh,.010097672,4
6.5,MA,sh,.0153912,4
7,MA,sh,.021984771,4
7.5,MA,sh,.029534517,4
8,MA,sh,.03763381,4
8.5,MA,sh,.045711905,4
9,MA,sh,.053349398,4
9.5,MA,sh,.060131241,4
10,MA,sh,.065341339,4
10.5,MA,sh,.069037192,4
11,MA,sh,.070884079,4
11.5,MA,sh,.071209505,4
12,MA,sh,.069803163,4
12.5,MA,sh,.066926077,4
13,MA,sh,.063026674,4
13.5,MA,sh,.058313657,4
14,MA,sh,.053118628,4
14.5,MA,sh,.047670748,4
15,MA,sh,.042146187,4
15.5,MA,sh,.036766734,4
16,MA,sh,0,4
16.5,MA,sh,0,4
17,MA,sh,0,4
17.5,MA,sh,0,4
18,MA,sh,0,4
18.5,MA,sh,0,4
19,MA,sh,0,4
19.5,MA,sh,0,4
20,MA,sh,0,4
20.5,MA,sh,0,4
21,MA,sh,0,4
21.5,MA,sh,0,4
22,MA,sh,0,4
22.5,MA,sh,0,4
23,MA,sh,0,4
23.5,MA,sh,0,4
24,MA,sh,0,4
24.5,MA,sh,0,4
1.5,MA,fh,1.3112005e-07,5
2,MA,fh,1.6171469e-06,5
2.5,MA,fh,.000010577016,5
3,MA,fh,.000052448013,5
3.5,MA,fh,.00019908391,5
4,MA,fh,.00057260116,5
4.5,MA,fh,.0013570486,5
5,MA,fh,.0027616064,5
5.5,MA,fh,.005074345,5
6,MA,fh,.0084950933,5
6.5,MA,fh,.012948496,5
7,MA,fh,.018495616,5
7.5,MA,fh,.024847159,5
8,MA,fh,.03166103,5
8.5,MA,fh,.03845707,5
9,MA,fh,.044882432,5
9.5,MA,fh,.050587945,5
10,MA,fh,.054971159,5
10.5,MA,fh,.05808045,5
11,MA,fh,.059634224,5
11.5,MA,fh,.059908003,5
12,MA,fh,.058724858,5
12.5,MA,fh,.056304388,5
13,MA,fh,.053023849,5
13.5,MA,fh,.049058825,5
14,MA,fh,.044688288,5
14.5,MA,fh,.04010503,5
15,MA,fh,.035457257,5
15.5,MA,fh,.030931566,5
16,MA,fh,.028680749,5
16.5,MA,fh,.024457822,5
17,MA,fh,.020587495,5
17.5,MA,fh,.017108975,5
18,MA,fh,.014139157,5
18.5,MA,fh,.011576804,5
19,MA,fh,.0094091306,5
19.5,MA,fh,.0075231008,5
20,MA,fh,.0060190069,5
20.5,MA,fh,.0047668419,5
21,MA,fh,.0037477973,5
21.5,MA,fh,.0029213901,5
22,MA,fh,.0022873846,5
22.5,MA,fh,.0017401293,5
23,MA,fh,.001342677,5
23.5,MA,fh,.0010275551,5
