iteration_2024,length,draw,n_fish_population_2024,state,mode,fitted_prob
48,19,9,449806.03125,CT,fh,.000044833072
63,4,10,24591953.35400391,CT,fh,.00001085709
63,4.5,10,27221820.36328125,CT,fh,.000075622935
63,5,10,30002598.6718764,CT,fh,.00034683658
63,5.5,10,31606190.49511719,CT,fh,.0012031862
63,6,10,31128274.51173347,CT,fh,.0034344671
63,6.5,10,30130639.9140625,CT,fh,.0083861947
63,7,10,31130477.72265625,CT,fh,.017769359
63,7.5,10,32262834.875,CT,fh,.032456443
63,8,10,32348761.6015625,CT,fh,.051131587
63,8.5,10,32407863.93751659,CT,fh,.068746284
63,9,10,32833656.953125,CT,fh,.079340577
63,9.5,10,31995719.078125,CT,fh,.081522837
63,10,10,30753861.703125,CT,fh,.13764966
63,10.5,10,32007550.98095703,CT,fh,.11903555
63,11,10,34953627.34375019,CT,fh,.10061337
63,11.5,10,36523826.875,CT,fh,.082443714
63,12,10,36045184.04882813,CT,fh,.064805321
63,12.5,10,34907631.75378418,CT,fh,.048935492
63,13,10,31519813.02343791,CT,fh,.035365187
63,13.5,10,24838731.12744141,CT,fh,.024555154
63,14,10,16671286.91992241,CT,fh,.016371271
63,14.5,10,10393080.09766102,CT,fh,.010493197
63,15,10,6154684.903808594,CT,fh,.006498313
63,15.5,10,3248292.654298171,CT,fh,.0038773962
63,16,10,1480072.18359375,CT,fh,.0022500127
63,16.5,10,826364.9396972656,CT,fh,.0012713139
63,17,10,629866.687500521,CT,fh,.00069497561
63,17.5,10,500006.5,CT,fh,.00037210339
63,18,10,465487.6875,CT,fh,.00019408634
63,18.5,10,465487.6875,CT,fh,.00010116777
63,19,10,465487.6875,CT,fh,.000048505091
70,4,11,36403259.8704834,CT,fh,.000022312875
70,4.5,11,38474163.7265625,CT,fh,.00015366569
70,5,11,39361576.29687732,CT,fh,.00067597907
70,5.5,11,37869380.54882813,CT,fh,.0021879966
70,6,11,33158995.64844714,CT,fh,.0056179683
70,6.5,11,27368607.10351563,CT,fh,.011665888
70,7,11,24213449.91796875,CT,fh,.02053941
70,7.5,11,22755185.015625,CT,fh,.032432359
70,8,11,21926555.7109375,CT,fh,.04646429
70,8.5,11,22233446.81252672,CT,fh,.060198385
70,9,11,23519851.625,CT,fh,.070955686
70,9.5,11,24059898.0625,CT,fh,.076045036
70,10,11,24229622.25976563,CT,fh,.13446224
70,10.5,11,26143785.98278809,CT,fh,.12106715
70,11,11,28958355.42187523,CT,fh,.10432386
70,11.5,11,30340408.5625,CT,fh,.086084239
70,12,11,29939764.9921875,CT,fh,.067907318
70,12.5,11,28992402.14300537,CT,fh,.051405489
70,13,11,26189185.56445331,CT,fh,.037221629
70,13.5,11,20666783.7611084,CT,fh,.025903212
70,14,11,13899718.18359407,CT,fh,.017314991
